fid,canton,prefecture,region,lat,lon,superficie_km2,points_service,dist_service_km,dist_agence_km,classe_acces
cantons.B09055161,Kpélé-Centre,Kpélé,Plateaux,7.165154283312157,0.8483647823241047,104.6,12,3.7,13.45,2 – 5 km
cantons.B10056162,Tohoun,Moyen-Mono,Plateaux,7.04655040198854,1.595132637936499,88.1,26,1.82,3.14,< 2 km
cantons.B10056163,Tado,Moyen-Mono,Plateaux,7.1433194541674245,1.54395062294907,218.1,9,3.0,15.24,2 – 5 km
cantons.B10056164,Ahassomè,Moyen-Mono,Plateaux,7.242975858496557,1.5068369434920055,115.6,4,0.6,26.93,< 2 km
cantons.B10057165,Katomé,Moyen-Mono,Plateaux,7.361156569675446,1.6029608990808388,35.7,4,2.03,37.48,2 – 5 km
cantons.B10057166,Kpékplémé,Moyen-Mono,Plateaux,7.31160641386138,1.5816145325018731,65.2,27,1.21,32.15,< 2 km
cantons.B10057167,Saligbé,Moyen-Mono,Plateaux,7.24525522738363,1.5871928643506314,91.6,11,4.17,24.78,2 – 5 km
cantons.B11058168,Houdou,Ogou,Plateaux,7.65565013073558,1.1829049679389971,149.6,14,0.5,11.58,< 2 km
cantons.B11058169,Djama,Ogou,Plateaux,7.572731707943474,1.237931977880214,212.1,31,2.77,21.26,2 – 5 km
cantons.B11058170,Gnagna,Ogou,Plateaux,7.5021882623117015,1.1831062309958609,53.8,226,4.24,20.74,2 – 5 km
cantons.B11059171,Katoré,Ogou,Plateaux,7.379301964898048,1.346814521238501,190.5,22,0.73,21.32,< 2 km
cantons.B11059172,Datcha,Ogou,Plateaux,7.414570607095894,1.2104973092916012,135.8,8,4.27,12.06,2 – 5 km
cantons.B11059173,Akparé,Ogou,Plateaux,7.472575889854439,1.3252672794616591,207.9,14,0.07,24.82,< 2 km
cantons.B11060174,Gléi,Ogou,Plateaux,7.287007868008268,1.223856911748055,526.9,85,5.44,7.28,5 – 10 km
cantons.B11061175,Ountivou,Ogou,Plateaux,7.411589450851063,1.5228704650130755,364.4,21,3.55,40.96,2 – 5 km
cantons.B12062176,Kpété-Béna,Wawa,Plateaux,7.446128016973369,0.5878832211618393,123.1,34,1.74,38.19,< 2 km
cantons.B12062177,Tomégbé,Wawa,Plateaux,7.51534340776791,0.6107637945024615,103.0,28,0.39,44.45,< 2 km
cantons.C03070213,Tabindè,Sotouboua,Centrale,8.511780491457277,1.1336194876991101,239.3,2,2.46,17.19,2 – 5 km
cantons.B12062178,Badou,Wawa,Plateaux,7.56815828163103,0.5732444208705488,91.8,89,2.38,51.31,2 – 5 km
cantons.B12062179,Késsibo,Wawa,Plateaux,7.645206727607182,0.6234814398677746,111.4,21,2.85,58.01,2 – 5 km
cantons.B12063180,Gbadi-N'kougna,Wawa,Plateaux,7.456460706632468,0.7015785894523625,155.5,13,1.36,36.04,< 2 km
cantons.B12063181,Ekéto,Wawa,Plateaux,7.448742637067809,0.8031804414526655,177.7,1,2.82,35.93,2 – 5 km
cantons.B12063182,Gobé,Wawa,Plateaux,7.5228014143888915,0.8027191624278582,30.8,2,0.64,43.95,< 2 km
cantons.B12064183,Zogbégan,Wawa,Plateaux,7.5697112263040305,0.6959808628078546,74.5,24,1.47,48.58,< 2 km
cantons.B12064184,Ounabé,Wawa,Plateaux,7.556981019414593,0.9502598056602479,71.9,5,1.05,34.98,< 2 km
cantons.B12064185,Okou,Wawa,Plateaux,7.555096441267726,0.8804086384602487,128.5,5,2.85,41.06,2 – 5 km
cantons.B12064186,Doumé,Wawa,Plateaux,7.565086458396898,0.7863372657886587,65.4,13,1.68,48.29,< 2 km
cantons.C01065187,Pagala-Gare,Blitta,Centrale,8.171401013269847,0.9946900585710008,209.7,17,0.78,18.62,< 2 km
cantons.C01065188,Waragni,Blitta,Centrale,8.269986331756016,1.027155629095298,54.7,7,0.03,7.93,< 2 km
cantons.C01065189,Blitta-Village,Blitta,Centrale,8.359046137521158,1.0324093057570396,72.2,13,2.54,3.0,2 – 5 km
cantons.C01065190,Blitta,Blitta,Centrale,8.316346695801709,0.9696995549442962,102.6,8,1.0,4.96,< 2 km
cantons.C01065192,Tchaloudè,Blitta,Centrale,8.319062692203307,1.176134003422132,154.0,10,8.82,18.47,5 – 10 km
cantons.C01065193,Canton C01065193 (non nommé),Blitta,Centrale,8.309857321481584,0.9002661945376882,129.6,0,8.65,12.35,5 – 10 km
cantons.C01066194,Tcharè-Baou,Blitta,Centrale,8.05374202064051,1.0627787495602854,172.5,4,5.15,32.14,5 – 10 km
cantons.C01066195,Canton C01066195 (non nommé),Blitta,Centrale,8.025686616712488,1.1457062172617551,161.1,0,6.17,29.3,5 – 10 km
cantons.C01066196,Canton C01066196 (non nommé),Blitta,Centrale,8.133042916225918,1.169061464962854,257.0,0,10.56,28.87,> 10 km
cantons.C01066197,Agbandi,Blitta,Centrale,8.227803410875493,1.1796676932730281,193.1,5,4.84,22.54,2 – 5 km
cantons.C01067198,Canton C01067198 (non nommé),Blitta,Centrale,8.097776075522326,0.7694504392620498,163.5,0,11.89,37.51,> 10 km
cantons.C01067199,Welly,Blitta,Centrale,8.039979883971577,0.8999274868764524,378.4,2,4.84,35.19,2 – 5 km
cantons.C01067200,Canton C01067200 (non nommé),Blitta,Centrale,8.195049576532321,0.8852054907267007,121.6,0,7.65,20.94,5 – 10 km
cantons.C01067201,Canton C01067201 (non nommé),Blitta,Centrale,8.187125546074311,0.7976546831348671,69.6,0,3.68,28.68,2 – 5 km
cantons.C01067202,Atchintsè,Blitta,Centrale,7.9892127564414315,0.6775806378705057,256.8,1,2.59,53.19,2 – 5 km
